"dataset","learningrate","bottleneck","blockForm","testAccuracy","nblocks","valAccuracy","nhidden"
"cardiotocography-3clases",1,0.25,"diavolo",0.779660940170288,4,0.74137932062149,512
"cardiotocography-3clases",1,0.25,"diavolo",0.779660940170288,4,0.74137932062149,256
"cardiotocography-3clases",1,0.25,"diavolo",0.779661059379578,3,0.74137932062149,1024
"cardiotocography-3clases",1,0.25,"diavolo",0.779661059379578,3,0.74137932062149,512
"cardiotocography-3clases",1,0.5,"diavolo",0.779660940170288,3,0.74137932062149,512
"cardiotocography-3clases",1,0.25,"diavolo",0.779661059379578,3,0.74137932062149,256
"cardiotocography-3clases",1,0.5,"diavolo",0.779660940170288,3,0.74137932062149,256
"cardiotocography-3clases",1,0.5,"diavolo",0.779661059379578,2,0.74137932062149,1024
"cardiotocography-3clases",1,0.25,"rect",0.779660940170288,2,0.74137932062149,512
"cardiotocography-3clases",1,0.25,"diavolo",0.779660940170288,2,0.74137932062149,512
"cardiotocography-3clases",1,0.5,"rect",0.779660940170288,2,0.74137932062149,512
"cardiotocography-3clases",1,0.5,"diavolo",0.779660999774933,2,0.74137932062149,512
"cardiotocography-3clases",1,0.25,"rect",0.779661059379578,2,0.74137932062149,256
"cardiotocography-3clases",1,0.25,"diavolo",0.779660999774933,2,0.74137932062149,256
"cardiotocography-3clases",1,0.5,"diavolo",0.779660999774933,2,0.74137932062149,256
"cardiotocography-3clases",0.1,0.5,"diavolo",0.779660940170288,16,0.741379314661026,1024
"cardiotocography-3clases",0.1,0.5,"diavolo",0.779661059379578,16,0.741379314661026,512
"cardiotocography-3clases",1,0.5,"rect",0.779660999774933,16,0.741379314661026,1024
"cardiotocography-3clases",1,0.5,"diavolo",0.779661059379578,16,0.741379314661026,1024
"cardiotocography-3clases",1,0.25,"diavolo",0.779661059379578,8,0.741379314661026,1024
"cardiotocography-3clases",1,0.5,"diavolo",0.779660940170288,8,0.741379314661026,1024
"cardiotocography-3clases",1,0.5,"rect",0.779661059379578,8,0.741379314661026,256
"cardiotocography-3clases",1,0.5,"rect",0.779661059379578,4,0.741379314661026,512
"cardiotocography-3clases",1,0.5,"diavolo",0.779660940170288,4,0.741379314661026,512
"cardiotocography-3clases",1,0.25,"rect",0.779660940170288,4,0.741379314661026,256
"cardiotocography-3clases",1,0.5,"rect",0.779661059379578,4,0.741379314661026,256
"cardiotocography-3clases",1,0.5,"diavolo",0.779660940170288,4,0.741379314661026,256
"cardiotocography-3clases",1,0.25,"rect",0.779660940170288,3,0.741379314661026,1024
"cardiotocography-3clases",1,0.5,"rect",0.779660940170288,3,0.741379314661026,1024
"cardiotocography-3clases",1,0.25,"rect",0.779661059379578,3,0.741379314661026,512
"cardiotocography-3clases",1,0.5,"rect",0.779660940170288,3,0.741379314661026,512
"cardiotocography-3clases",1,0.5,"rect",0.779660940170288,3,0.741379314661026,256
"cardiotocography-3clases",1,0.5,"rect",0.779661059379578,2,0.741379314661026,256
"cardiotocography-3clases",1,0.25,"diavolo",0.779660940170288,16,0.741379308700561,1024
"cardiotocography-3clases",1,0.25,"rect",0.779660940170288,16,0.741379308700561,512
"cardiotocography-3clases",1,0.5,"diavolo",0.779660940170288,16,0.741379308700561,256
"cardiotocography-3clases",1,0.25,"diavolo",0.779660940170288,8,0.741379308700561,256
"cardiotocography-3clases",1,0.5,"diavolo",0.779660940170288,8,0.741379308700561,256
"cardiotocography-3clases",1,0.5,"diavolo",0.779660940170288,3,0.741379308700561,1024
"cardiotocography-3clases",1,0.25,"rect",0.779660940170288,3,0.741379308700561,256
"cardiotocography-3clases",1,0.25,"rect",0.779660940170288,2,0.741379308700561,1024
"cardiotocography-3clases",1,0.25,"diavolo",0.779661059379578,2,0.741379308700561,1024
"cardiotocography-3clases",1,0.5,"rect",0.779661059379578,2,0.741379308700561,1024
"cardiotocography-3clases",1,0.25,"diavolo",0.779660940170288,16,0.741379296779633,256
"cardiotocography-3clases",0.1,0.5,"rect",0.676082849502563,4,0.710344821214676,1024
"cardiotocography-3clases",0.1,0.25,"rect",0.764595091342926,8,0.68706893324852,512
"cardiotocography-3clases",0.1,0.5,"rect",0.661016941070557,8,0.678448265790939,512
"cardiotocography-3clases",0.1,0.5,"rect",0.0828625187277794,16,0.166379314661026,512
