"dataset","nlayers","testAccuracy","layerForm","nhidden","valAccuracy","learningrate"
"statlog-german-credit",3,0.703999996185303,"cone",256,0.780000013113022,0.1
"statlog-german-credit",2,0.699999988079071,"cone",512,0.77846155166626,0.1
"statlog-german-credit",8,0.708000004291534,"cone",256,0.776923090219498,1
"statlog-german-credit",3,0.699999988079071,"rect",1024,0.775384628772736,0.1
"statlog-german-credit",4,0.700000047683716,"rect",1024,0.773846167325973,0.01
"statlog-german-credit",8,0.699999988079071,"cone",512,0.770769244432449,0.01
"statlog-german-credit",4,0.699999988079071,"cone",1024,0.770769244432449,0.1
"statlog-german-credit",2,0.700000047683716,"rect",1024,0.770769244432449,0.1
"statlog-german-credit",2,0.703999996185303,"rect",512,0.770769244432449,0.1
"statlog-german-credit",32,0.699999988079071,"cone",1024,0.769230782985687,0.01
"statlog-german-credit",32,0.699999988079071,"cone",512,0.769230782985687,0.01
"statlog-german-credit",32,0.699999988079071,"rect",512,0.769230782985687,0.01
"statlog-german-credit",32,0.699999988079071,"rect",256,0.769230782985687,0.01
"statlog-german-credit",32,0.700000047683716,"cone",1024,0.769230782985687,0.1
"statlog-german-credit",32,0.699999988079071,"cone",512,0.769230782985687,0.1
"statlog-german-credit",32,0.699999928474426,"cone",256,0.769230782985687,0.1
"statlog-german-credit",32,0.699999988079071,"cone",1024,0.769230782985687,1
"statlog-german-credit",32,0.700000047683716,"cone",512,0.769230782985687,1
"statlog-german-credit",32,0.699999928474426,"cone",256,0.769230782985687,1
"statlog-german-credit",16,0.699999988079071,"cone",1024,0.769230782985687,0.01
"statlog-german-credit",16,0.699999928474426,"rect",1024,0.769230782985687,0.01
"statlog-german-credit",16,0.699999988079071,"cone",512,0.769230782985687,0.01
"statlog-german-credit",16,0.699999988079071,"rect",512,0.769230782985687,0.01
"statlog-german-credit",16,0.699999928474426,"cone",256,0.769230782985687,0.01
"statlog-german-credit",16,0.699999928474426,"rect",256,0.769230782985687,0.01
"statlog-german-credit",16,0.699999928474426,"cone",1024,0.769230782985687,0.1
"statlog-german-credit",16,0.699999988079071,"rect",1024,0.769230782985687,0.1
"statlog-german-credit",16,0.699999988079071,"cone",512,0.769230782985687,0.1
"statlog-german-credit",16,0.699999928474426,"rect",512,0.769230782985687,0.1
"statlog-german-credit",16,0.699999928474426,"cone",256,0.769230782985687,0.1
"statlog-german-credit",16,0.699999928474426,"rect",256,0.769230782985687,0.1
"statlog-german-credit",16,0.699999988079071,"cone",1024,0.769230782985687,1
"statlog-german-credit",16,0.700000047683716,"cone",512,0.769230782985687,1
"statlog-german-credit",16,0.700000047683716,"rect",512,0.769230782985687,1
"statlog-german-credit",16,0.699999928474426,"rect",256,0.769230782985687,1
"statlog-german-credit",8,0.699999988079071,"cone",1024,0.769230782985687,0.01
"statlog-german-credit",8,0.699999988079071,"rect",1024,0.769230782985687,0.01
"statlog-german-credit",8,0.700000047683716,"rect",512,0.769230782985687,0.01
"statlog-german-credit",8,0.699999988079071,"cone",256,0.769230782985687,0.01
"statlog-german-credit",8,0.700000047683716,"rect",256,0.769230782985687,0.01
"statlog-german-credit",8,0.699999928474426,"cone",1024,0.769230782985687,0.1
"statlog-german-credit",8,0.699999928474426,"rect",1024,0.769230782985687,0.1
"statlog-german-credit",8,0.699999988079071,"cone",512,0.769230782985687,0.1
"statlog-german-credit",8,0.699999928474426,"rect",512,0.769230782985687,0.1
"statlog-german-credit",8,0.699999928474426,"cone",256,0.769230782985687,0.1
"statlog-german-credit",8,0.699999928474426,"rect",256,0.769230782985687,0.1
"statlog-german-credit",8,0.699999988079071,"cone",512,0.769230782985687,1
"statlog-german-credit",8,0.700000047683716,"rect",512,0.769230782985687,1
"statlog-german-credit",8,0.699999928474426,"rect",256,0.769230782985687,1
"statlog-german-credit",4,0.699999988079071,"cone",1024,0.769230782985687,0.01
"statlog-german-credit",4,0.699999988079071,"cone",256,0.769230782985687,0.01
"statlog-german-credit",4,0.699999988079071,"rect",1024,0.769230782985687,0.1
"statlog-german-credit",4,0.699999928474426,"cone",512,0.769230782985687,0.1
"statlog-german-credit",4,0.699999988079071,"rect",512,0.769230782985687,0.1
"statlog-german-credit",4,0.699999988079071,"cone",256,0.769230782985687,0.1
"statlog-german-credit",4,0.699999988079071,"rect",256,0.769230782985687,0.1
"statlog-german-credit",3,0.700000047683716,"cone",512,0.769230782985687,0.01
"statlog-german-credit",3,0.700000047683716,"rect",512,0.769230782985687,0.01
"statlog-german-credit",3,0.711999952793121,"cone",256,0.769230782985687,0.01
"statlog-german-credit",3,0.699999988079071,"cone",1024,0.769230782985687,0.1
"statlog-german-credit",3,0.699999988079071,"cone",512,0.769230782985687,0.1
"statlog-german-credit",3,0.699999988079071,"rect",512,0.769230782985687,0.1
"statlog-german-credit",3,0.699999988079071,"rect",256,0.769230782985687,0.1
"statlog-german-credit",2,0.699999988079071,"cone",512,0.769230782985687,0.01
"statlog-german-credit",2,0.699999988079071,"cone",256,0.769230782985687,0.01
"statlog-german-credit",2,0.699999988079071,"rect",256,0.769230782985687,0.1
"statlog-german-credit",4,0.687999963760376,"rect",1024,0.760000014305115,1
"statlog-german-credit",16,0.699999988079071,"cone",256,0.746153861284256,1
"statlog-german-credit",32,0.632000029087067,"rect",1024,0.733846169710159,0.01
"statlog-german-credit",8,0.760000050067902,"rect",1024,0.723076939582825,1
"statlog-german-credit",16,0.699999928474426,"rect",1024,0.718461552262306,1
"statlog-german-credit",32,0.699999988079071,"rect",512,0.715384629368782,1
"statlog-german-credit",2,0.603999972343445,"rect",512,0.713846170902252,1
"statlog-german-credit",32,0.699999988079071,"rect",1024,0.661538475751877,0.1
"statlog-german-credit",32,0.699999928474426,"rect",1024,0.607692322134972,1
"statlog-german-credit",32,0.699999988079071,"rect",256,0.553846168518066,0.1
"statlog-german-credit",32,0.300000011920929,"rect",256,0.553846168518066,1
"statlog-german-credit",32,0.699999928474426,"rect",512,0.446153861284256,0.1
