"dataset","layerForm","nlayers","learningrate","testAccuracy","nhidden","valAccuracy"
"lymphography","rect",4,1,0.378378391265869,512,0.583333373069763
"lymphography","cone",8,1,0.54054057598114,1024,0.583333358168602
"lymphography","cone",32,0.1,0.567567646503448,256,0.566666692495346
"lymphography","cone",32,1,0.567567646503448,256,0.550000025331974
"lymphography","rect",32,0.01,0.567567646503448,512,0.550000023841858
"lymphography","rect",3,0.01,0.594594597816467,256,0.5
"lymphography","rect",16,1,0.567567646503448,1024,0.450000020861626
"lymphography","rect",32,0.1,0.567567646503448,512,0.433333353698254
"lymphography","rect",3,1,0.486486494541168,256,0.391666680574417
"lymphography","rect",8,1,0.459459483623505,512,0.375000007450581
"lymphography","cone",32,0.1,0.405405431985855,1024,0.358333348482847
"lymphography","cone",32,0.01,0,1024,0.258333341777325
"lymphography","rect",32,0.01,0,256,0.250000011920929
"lymphography","cone",16,0.01,0.405405431985855,512,0.241666673123836
"lymphography","cone",16,0.1,0.513513505458832,1024,0.19166666790843
"lymphography","rect",32,0.1,0.0270270276814699,256,0.183333340287209
"lymphography","cone",32,0.01,0.405405431985855,512,0.16666667163372
"lymphography","cone",32,0.1,0.405405431985855,512,0.16666667163372
"lymphography","rect",32,1,0.405405431985855,256,0.16666667163372
"lymphography","cone",16,1,0.405405431985855,1024,0.16666667163372
"lymphography","rect",16,0.1,0.405405431985855,512,0.133333337306976
"lymphography","cone",16,0.1,0.0270270276814699,256,0.016666667163372
"lymphography","rect",32,0.01,0.0270270276814699,1024,0
"lymphography","cone",32,0.01,0.0270270276814699,256,0
"lymphography","rect",32,1,0,1024,0
