"dataset","nlayers","testAccuracy","nhidden","valAccuracy","layerForm","learningrate"
"synthetic-control",4,0.166666656732559,512,0.122448980808258,"cone",1
"synthetic-control",4,0.166666656732559,256,0.122448980808258,"cone",1
"synthetic-control",3,0.166666656732559,1024,0.122448980808258,"cone",1
"synthetic-control",3,0.166666656732559,1024,0.122448980808258,"rect",1
"synthetic-control",3,0.166666656732559,512,0.122448980808258,"rect",1
"synthetic-control",3,0.166666656732559,256,0.122448980808258,"rect",1
"synthetic-control",2,0.166666656732559,1024,0.122448980808258,"cone",1
"synthetic-control",2,0.166666656732559,1024,0.122448980808258,"rect",1
"synthetic-control",2,0.166666656732559,512,0.122448980808258,"cone",1
"synthetic-control",2,0.166666656732559,512,0.122448980808258,"rect",1
"synthetic-control",2,0.166666656732559,256,0.122448980808258,"cone",1
"synthetic-control",2,0.166666656732559,256,0.122448980808258,"rect",1
