"dataset","learningrate","testAccuracy","nhidden","layerForm","nlayers","valAccuracy"
"statlog-german-credit",0.1,0.700000047683716,512,"cone",16,0.662790715694428
"statlog-german-credit",0.1,0.699999928474426,512,"rect",16,0.662790715694428
"statlog-german-credit",0.1,0.700000047683716,256,"cone",16,0.662790715694428
"statlog-german-credit",0.1,0.699999988079071,256,"rect",16,0.662790715694428
"statlog-german-credit",1,0.699999988079071,1024,"cone",16,0.662790715694428
"statlog-german-credit",1,0.699999988079071,1024,"rect",16,0.662790715694428
"statlog-german-credit",1,0.699999988079071,512,"cone",16,0.662790715694428
"statlog-german-credit",1,0.699999988079071,512,"rect",16,0.662790715694428
"statlog-german-credit",1,0.700000047683716,256,"cone",16,0.662790715694428
"statlog-german-credit",1,0.700000047683716,256,"rect",16,0.662790715694428
"statlog-german-credit",0.01,0.699999988079071,256,"cone",8,0.662790715694428
"statlog-german-credit",0.1,0.699999928474426,1024,"cone",8,0.662790715694428
"statlog-german-credit",0.1,0.700000047683716,1024,"rect",8,0.662790715694428
"statlog-german-credit",0.1,0.699999928474426,512,"cone",8,0.662790715694428
"statlog-german-credit",0.1,0.699999988079071,512,"rect",8,0.662790715694428
"statlog-german-credit",0.1,0.699999988079071,256,"cone",8,0.662790715694428
"statlog-german-credit",0.1,0.699999988079071,256,"rect",8,0.662790715694428
"statlog-german-credit",1,0.700000047683716,1024,"cone",8,0.662790715694428
"statlog-german-credit",1,0.700000047683716,1024,"rect",8,0.662790715694428
"statlog-german-credit",1,0.699999988079071,512,"cone",8,0.662790715694428
"statlog-german-credit",1,0.699999988079071,512,"rect",8,0.662790715694428
"statlog-german-credit",1,0.699999928474426,256,"cone",8,0.662790715694428
"statlog-german-credit",1,0.700000047683716,256,"rect",8,0.662790715694428
"statlog-german-credit",0.01,0.700000047683716,256,"cone",4,0.662790715694428
"statlog-german-credit",0.1,0.699999928474426,1024,"rect",4,0.662790715694428
"statlog-german-credit",0.1,0.699999928474426,512,"cone",4,0.662790715694428
"statlog-german-credit",0.1,0.699999928474426,256,"rect",4,0.662790715694428
"statlog-german-credit",1,0.700000047683716,1024,"cone",4,0.662790715694428
"statlog-german-credit",1,0.699999988079071,1024,"rect",4,0.662790715694428
"statlog-german-credit",1,0.699999928474426,512,"cone",4,0.662790715694428
"statlog-german-credit",1,0.700000047683716,512,"rect",4,0.662790715694428
"statlog-german-credit",1,0.700000047683716,256,"cone",4,0.662790715694428
"statlog-german-credit",1,0.700000047683716,256,"rect",4,0.662790715694428
"statlog-german-credit",0.1,0.699999988079071,256,"cone",3,0.662790715694428
"statlog-german-credit",1,0.699999988079071,1024,"cone",3,0.662790715694428
"statlog-german-credit",1,0.699999988079071,1024,"rect",3,0.662790715694428
"statlog-german-credit",1,0.699999988079071,512,"cone",3,0.662790715694428
"statlog-german-credit",1,0.699999988079071,512,"rect",3,0.662790715694428
"statlog-german-credit",1,0.700000047683716,256,"cone",3,0.662790715694428
"statlog-german-credit",1,0.699999988079071,256,"rect",3,0.662790715694428
"statlog-german-credit",1,0.699999988079071,1024,"cone",2,0.662790715694428
"statlog-german-credit",1,0.699999988079071,1024,"rect",2,0.662790715694428
"statlog-german-credit",1,0.699999988079071,512,"cone",2,0.662790715694428
"statlog-german-credit",1,0.700000047683716,512,"rect",2,0.662790715694428
"statlog-german-credit",1,0.699999928474426,256,"rect",2,0.662790715694428
"statlog-german-credit",0.1,0.74399995803833,512,"rect",2,0.662790703773498
"statlog-german-credit",0.01,0.75600004196167,256,"rect",2,0.658139550685883
"statlog-german-credit",0.1,0.715999960899353,1024,"cone",4,0.65232560634613
"statlog-german-credit",0.1,0.764000058174133,256,"cone",2,0.650000047683716
"statlog-german-credit",0.1,0.763999998569489,512,"cone",2,0.634883767366409
"statlog-german-credit",0.01,0.76800000667572,1024,"rect",8,0.634883761405945
"statlog-german-credit",0.1,0.75600004196167,1024,"rect",2,0.625581449270248
"statlog-german-credit",0.01,0.300000011920929,512,"cone",32,0.337209284305572
"statlog-german-credit",0.01,0.299999982118607,1024,"cone",16,0.337209284305572
"statlog-german-credit",0.01,0.300000011920929,512,"cone",16,0.337209284305572
"statlog-german-credit",0.01,0.300000011920929,256,"cone",16,0.337209284305572
"statlog-german-credit",0.01,0.299999982118607,512,"cone",4,0.337209284305572
