"dataset","testAccuracy","layerForm","nhidden","nlayers","learningrate","valAccuracy"
"lymphography",0.81081086397171,"rect",512,3,0.01,0.777777791023254
"lymphography",0.81081086397171,"rect",256,3,0.1,0.777777791023254
"lymphography",0.783783853054047,"cone",256,2,0.01,0.777777791023254
"lymphography",0.756756842136383,"cone",512,8,0.1,0.772222232818603
"lymphography",0.783783853054047,"rect",512,8,0.1,0.766666674613953
"lymphography",0.648648679256439,"cone",512,8,0.01,0.755555558204651
"lymphography",0.81081086397171,"rect",512,3,0.1,0.744444441795349
"lymphography",0.783783853054047,"rect",1024,4,0.1,0.733333325386048
"lymphography",0.756756842136383,"rect",512,2,0.1,0.733333325386047
"lymphography",0.621621668338776,"cone",512,16,0.01,0.722222226858139
"lymphography",0.783783853054047,"cone",256,3,1,0.722222220897675
"lymphography",0.648648679256439,"rect",256,16,0.01,0.722222208976746
"lymphography",0.648648679256439,"cone",256,8,0.01,0.722222208976746
"lymphography",0.72972971200943,"rect",512,4,0.01,0.722222208976746
"lymphography",0.702702701091766,"cone",256,3,0.01,0.722222208976746
"lymphography",0.756756782531738,"cone",512,2,0.1,0.722222208976746
"lymphography",0.864864885807037,"rect",1024,2,0.01,0.705555552244187
"lymphography",0.675675690174103,"cone",256,8,0.1,0.700000005960465
"lymphography",0.621621668338776,"cone",256,16,0.1,0.672222238779068
"lymphography",0.72972971200943,"cone",256,4,0.1,0.672222238779068
"lymphography",0.729729831218719,"rect",512,16,0.01,0.666666686534881
"lymphography",0.702702701091766,"cone",1024,8,0.01,0.666666686534881
"lymphography",0.675675690174103,"cone",1024,4,0.01,0.666666686534881
"lymphography",0.621621668338776,"cone",256,4,0.01,0.666666686534881
"lymphography",0.621621668338776,"cone",1024,16,0.01,0.633333373069763
"lymphography",0.567567646503448,"cone",256,8,1,0.633333349227905
"lymphography",0.72972971200943,"cone",512,4,0.01,0.611111164093018
"lymphography",0.513513505458832,"rect",256,16,0.1,0.600000047683716
"lymphography",0.675675690174103,"cone",512,16,0.1,0.588888937234879
"lymphography",0.648648679256439,"rect",256,8,0.01,0.56111114025116
"lymphography",0.702702701091766,"cone",1024,8,1,0.56111114025116
"lymphography",0.567567646503448,"cone",1024,32,0.01,0.555555582046509
"lymphography",0.567567646503448,"cone",512,32,0.01,0.555555582046509
"lymphography",0.567567646503448,"cone",1024,32,0.1,0.555555582046509
"lymphography",0.567567646503448,"cone",512,32,0.1,0.555555582046509
"lymphography",0.567567646503448,"cone",256,32,0.1,0.555555582046509
"lymphography",0.567567646503448,"rect",256,32,0.1,0.555555582046509
"lymphography",0.567567646503448,"cone",1024,32,1,0.555555582046509
"lymphography",0.567567646503448,"cone",256,32,1,0.555555582046509
"lymphography",0.486486524343491,"cone",256,16,0.01,0.555555582046509
"lymphography",0.567567646503448,"rect",1024,32,0.1,0.538888913393021
"lymphography",0.567567646503448,"rect",512,32,0.1,0.538888913393021
"lymphography",0.567567646503448,"cone",512,16,1,0.538888913393021
"lymphography",0.567567646503448,"cone",256,16,1,0.538888913393021
"lymphography",0.567567646503448,"rect",512,8,1,0.538888913393021
"lymphography",0.513513505458832,"cone",512,8,1,0.527777791023254
"lymphography",0.567567646503448,"cone",512,32,1,0.522222244739532
"lymphography",0.567567646503448,"rect",512,16,0.1,0.522222244739532
"lymphography",0.567567646503448,"cone",1024,16,1,0.522222244739532
"lymphography",0.405405431985855,"rect",256,32,0.01,0.522222244739532
"lymphography",0.567567646503448,"rect",512,3,1,0.511111128330231
"lymphography",0.567567646503448,"rect",512,32,0.01,0.505555576086044
"lymphography",0.54054057598114,"rect",1024,8,0.1,0.500000017881393
"lymphography",0.567567586898804,"rect",1024,16,0.1,0.488888919353485
"lymphography",0.594594657421112,"rect",256,3,1,0.488888907432556
"lymphography",0.567567646503448,"rect",1024,4,1,0.488888904452324
"lymphography",0.0270270276814699,"rect",1024,8,1,0.48333335518837
"lymphography",0.405405431985855,"rect",1024,32,0.01,0.472222238779068
"lymphography",0.567567646503448,"rect",512,16,1,0.472222238779068
"lymphography",0.0270270276814699,"rect",512,2,1,0.466666686534882
"lymphography",0.567567646503448,"rect",256,16,1,0.455555573478341
"lymphography",0.567567646503448,"rect",256,4,1,0.45000001937151
"lymphography",0.378378391265869,"rect",256,2,1,0.450000006705523
"lymphography",0.567567646503448,"rect",512,32,1,0.433333349227905
"lymphography",0.567567646503448,"rect",1024,3,1,0.416666683927178
"lymphography",0.405405431985855,"rect",256,8,1,0.416666680574417
"lymphography",0.405405431985855,"rect",1024,2,1,0.388888898864388
"lymphography",0.432432472705841,"cone",256,32,0.01,0.388888895511627
"lymphography",0.0270270276814699,"rect",1024,32,1,0.266666676104069
"lymphography",0,"rect",256,32,1,0.238888897746801
"lymphography",0,"rect",1024,16,1,0.222222229093313
"lymphography",0.0270270276814699,"rect",512,4,1,0.205555560067296
